,j_i,j_p,j_ip
0001,0.9417344173441734,0.9133146212414506,1.0
0080,0.83043945032923,0.8934008710060815,1.0
0192,0.9798134011874471,0.8366967567349246,1.0
0620,0.7513173423024724,0.9208396140552274,1.0
0758,0.8318155784650629,0.9422046309932907,1.0
0989,0.8179549902152641,0.9749169162268476,1.0
1014,0.7066866267465068,0.9303093488347978,1.0
1050,0.9340267335004175,0.9072869674185464,1.0
1545,0.8156364922206507,0.9055364822196507,1.0
1711,0.8112083973374296,0.8982957842635263,1.0
1941,0.7469130675526024,0.857568386762739,1.0
2269,0.7855323721528412,0.8796555257109628,1.0
2395,0.9129797302332513,0.8852197359239614,1.0
2462,0.7783912483912485,0.9056464256464256,1.0
2602,0.8792231491136601,0.8318967569332533,1.0
2720,0.7490484857489538,0.9332570748717395,1.0
2828,0.8640177013213661,0.8899496082742155,1.0
2841,0.8401480463980464,0.894032626324293,1.0
2990,0.8356424281424282,0.939109482859483,1.0
3000,0.8041827541827542,0.8821330096330098,1.0
